identified_MA,model_type,sample_index,total_psnr,local_steps,local_psnr,local_label,local_conf1,local_conf2,remote_steps,remote_psnr,s0_hostname,s0_label,s0_conf1,s0_conf2,s1_hostname,s1_label,s1_conf1,s1_conf2,s2_hostname,s2_label,s2_conf1,s2_conf2,s3_hostname,s3_label,s3_conf1,s3_conf2,s4_hostname,s4_label,s4_conf1,s4_conf2,s5_hostname,s5_label,s5_conf1,s5_conf2,s6_hostname,s6_label,s6_conf1,s6_conf2
intel-xwell,fmnist,31,69.75681498073932,95,69.75702740201542,5,0.4999980926513672,0.4999887943267822,13,159.85449561790637,server-amdrome,5,0.4999958276748657,0.4999910593032837,server-intelbroadwell,7,0.4999936819076538,0.4999932050704956,server-intelcascadelake,5,0.4999949932098389,0.4999918937683106,server-intelhaswell,7,0.4999936819076538,0.4999932050704956,server-intelivybridge,5,0.49999523162841797,0.4999916553497314,server-intelsandybridge,5,0.49999523162841797,0.4999916553497314,server-intelskylake,5,0.4999949932098389,0.4999918937683106
intel-xlake,fmnist,32,46.84341038000834,285,46.84343367628517,9,0.4850957691669464,0.4850864112377167,51,152.05074314949326,server-amdrome,9,0.4850921928882599,0.4850898683071137,server-intelbroadwell,9,0.4850921928882599,0.4850898087024689,server-intelcascadelake,7,0.4850912988185882,0.4850906729698181,server-intelhaswell,9,0.4850921928882599,0.4850898087024689,server-intelivybridge,9,0.4850918650627136,0.4850902557373047,server-intelsandybridge,9,0.4850918650627136,0.4850902557373047,server-intelskylake,7,0.4850912988185882,0.4850906729698181
intel-xbridge,fmnist,33,43.22235524237419,249,43.222365528272064,5,0.4996606111526489,0.4996522665023804,23,156.84105849014594,server-amdrome,5,0.4996576309204102,0.4996552467346192,server-intelbroadwell,5,0.4996581673622131,0.4996547102928162,server-intelcascadelake,5,0.4996569752693176,0.4996559023857117,server-intelhaswell,5,0.4996581673622131,0.4996547102928162,server-intelivybridge,7,0.4996564388275146,0.4996563196182251,server-intelsandybridge,7,0.4996564388275146,0.4996563196182251,server-intelskylake,5,0.4996569752693176,0.4996559023857117
intel-xbridge,fmnist,34,48.9443149263509,226,48.94433877742246,4,0.4916062653064728,0.4915963113307953,47,154.47456569381262,server-amdrome,4,0.491603434085846,0.4915990829467773,server-intelbroadwell,4,0.4916025102138519,0.4916001558303833,server-intelcascadelake,4,0.4916030466556549,0.4915996491909027,server-intelhaswell,4,0.4916025102138519,0.4916001558303833,server-intelivybridge,2,0.4916014671325684,0.4916011095046997,server-intelsandybridge,2,0.4916014671325684,0.4916011095046997,server-intelskylake,4,0.4916030466556549,0.4915996491909027
intel-xlake,fmnist,35,57.65167703862315,157,57.65173051695105,4,0.4996153712272644,0.4996055960655213,21,157.92042847979758,server-amdrome,4,0.4996123909950256,0.49960857629776,server-intelbroadwell,4,0.4996118545532226,0.4996089935302734,server-intelcascadelake,2,0.4996104240417481,0.4996104240417481,server-intelhaswell,4,0.4996118545532226,0.4996089935302734,server-intelivybridge,4,0.4996118545532226,0.4996089935302734,server-intelsandybridge,4,0.4996118545532226,0.4996089935302734,server-intelskylake,2,0.4996104240417481,0.4996104240417481
intel-xbridge,fmnist,36,51.38218915465488,134,51.38220463030969,3,0.4997548460960388,0.4997462630271912,17,162.9318040178143,server-amdrome,3,0.4997519850730896,0.4997491240501404,server-intelbroadwell,3,0.4997521638870239,0.4997489452362061,server-intelcascadelake,3,0.4997522234916687,0.4997489452362061,server-intelhaswell,3,0.4997521638870239,0.4997489452362061,server-intelivybridge,6,0.499750554561615,0.4997504949569702,server-intelsandybridge,6,0.499750554561615,0.4997504949569702,server-intelskylake,3,0.4997522234916687,0.4997489452362061
intel-xlake,fmnist,37,43.50352899099685,240,43.50354031885809,3,0.4997491240501404,0.4997393488883972,34,155.56615966113685,server-amdrome,3,0.4997459053993225,0.4997425675392151,server-intelbroadwell,3,0.4997450709342957,0.4997434020042419,server-intelcascadelake,2,0.4997442364692688,0.4997442364692688,server-intelhaswell,3,0.4997450709342957,0.4997434020042419,server-intelivybridge,3,0.4997444748878479,0.4997439980506897,server-intelsandybridge,3,0.4997444748878479,0.4997439980506897,server-intelskylake,2,0.4997442364692688,0.4997442364692688
intel-xlake,fmnist,39,47.0297213492293,157,47.029737693716115,7,0.5000044703483582,0.4999951720237732,25,157.52002277739692,server-amdrome,7,0.500000536441803,0.4999991059303284,server-intelbroadwell,7,0.4999998807907105,0.4999996423721314,server-intelcascadelake,9,0.5000001788139343,0.499999463558197,server-intelhaswell,7,0.4999998807907105,0.4999996423721314,server-intelivybridge,7,0.5000017285346985,0.4999979138374329,server-intelsandybridge,7,0.5000017285346985,0.4999979138374329,server-intelskylake,9,0.5000001788139343,0.499999463558197
intel-xlake,fmnist,40,46.87710602192568,152,46.87711448928884,5,0.4990486204624176,0.4990393817424774,27,162.99899194864508,server-amdrome,5,0.4990451037883759,0.4990427196025848,server-intelbroadwell,5,0.4990443289279938,0.4990434348583221,server-intelcascadelake,9,0.499044269323349,0.4990435540676117,server-intelhaswell,5,0.4990443289279938,0.4990434348583221,server-intelivybridge,5,0.4990446269512177,0.499043196439743,server-intelsandybridge,5,0.4990446269512177,0.499043196439743,server-intelskylake,9,0.499044269323349,0.4990435540676117
amd,fmnist,41,45.82617872942008,177,45.82618809629057,3,0.4993511438369751,0.499341607093811,18,160.2878154408505,server-amdrome,6,0.4993465840816498,0.4993462264537811,server-intelbroadwell,3,0.4993480145931244,0.4993447959423065,server-intelcascadelake,3,0.4993468225002289,0.499345988035202,server-intelhaswell,3,0.4993480145931244,0.4993447959423065,server-intelivybridge,3,0.4993480741977692,0.4993447363376618,server-intelsandybridge,3,0.4993480741977692,0.4993447363376618,server-intelskylake,3,0.4993468225002289,0.499345988035202
intel-xwell,fmnist,42,50.88021241331749,188,50.8802477259709,0,0.4999881386756897,0.4999783635139465,45,152.98855544113212,server-amdrome,0,0.4999844431877136,0.4999820590019226,server-intelbroadwell,6,0.4999833703041077,0.4999831318855286,server-intelcascadelake,0,0.4999843239784241,0.4999821782112122,server-intelhaswell,6,0.4999833703041077,0.4999831318855286,server-intelivybridge,0,0.4999855160713196,0.4999809861183167,server-intelsandybridge,0,0.4999855160713196,0.4999809861183167,server-intelskylake,0,0.4999843239784241,0.4999821782112122
intel-xlake,fmnist,43,60.43163442855607,109,60.43169141572477,0,0.4988292455673218,0.4988197386264801,18,159.33894528114598,server-amdrome,0,0.4988260567188263,0.498822957277298,server-intelbroadwell,0,0.4988255202770233,0.498823493719101,server-intelcascadelake,2,0.4988246262073517,0.4988243877887726,server-intelhaswell,0,0.4988255202770233,0.498823493719101,server-intelivybridge,0,0.4988252222537994,0.4988237917423248,server-intelsandybridge,0,0.4988252222537994,0.4988237917423248,server-intelskylake,2,0.4988246262073517,0.4988243877887726
intel-xbridge,fmnist,44,57.124482247371596,152,57.124520954258706,0,0.4853458404541016,0.485336571931839,28,158.94295452144402,server-amdrome,0,0.4853439927101135,0.48533856868743896,server-intelbroadwell,0,0.4853432774543762,0.4853391051292419,server-intelcascadelake,0,0.4853425920009613,0.4853399395942688,server-intelhaswell,0,0.4853432774543762,0.4853391051292419,server-intelivybridge,2,0.4853413999080658,0.4853410422801971,server-intelsandybridge,2,0.4853413999080658,0.4853410422801971,server-intelskylake,0,0.4853425920009613,0.4853399395942688
intel-xbridge,fmnist,49,50.16191964944864,190,50.16193932915758,6,0.4999675750732422,0.49995779991149897,21,157.2441961136679,server-amdrome,6,0.4999645948410034,0.4999607801437378,server-intelbroadwell,6,0.4999649524688721,0.4999604225158691,server-intelcascadelake,6,0.4999649524688721,0.4999604225158691,server-intelhaswell,6,0.4999649524688721,0.4999604225158691,server-intelivybridge,4,0.4999626874923706,0.4999626874923706,server-intelsandybridge,4,0.4999626874923706,0.4999626874923706,server-intelskylake,6,0.4999649524688721,0.4999604225158691
intel-xbridge,fmnist,50,55.801263104024144,136,55.80129652679732,2,0.4999279975891113,0.4999184608459473,29,158.70794767092875,server-amdrome,2,0.4999247789382935,0.4999216794967651,server-intelbroadwell,2,0.4999250173568726,0.4999214410781861,server-intelcascadelake,2,0.4999244213104248,0.4999220371246338,server-intelhaswell,2,0.4999250173568726,0.4999214410781861,server-intelivybridge,6,0.4999233484268189,0.4999231100082398,server-intelsandybridge,6,0.4999233484268189,0.4999231100082398,server-intelskylake,2,0.4999244213104248,0.4999220371246338
intel-xwell,fmnist,51,54.74179757127346,100,54.741816402784394,0,0.4992602169513702,0.4992528259754181,15,163.1768535904321,server-amdrome,0,0.4992585480213165,0.4992544949054718,server-intelbroadwell,2,0.4992568790912628,0.4992561638355255,server-intelcascadelake,0,0.4992577135562897,0.4992553293704986,server-intelhaswell,2,0.4992568790912628,0.4992561638355255,server-intelivybridge,0,0.4992586672306061,0.4992543756961823,server-intelsandybridge,0,0.4992586672306061,0.4992543756961823,server-intelskylake,0,0.4992577135562897,0.4992553293704986
intel-xbridge,fmnist,52,73.93120833095684,130,73.93160050430475,0,0.5000047087669373,0.4999949336051941,41,155.90504804939408,server-amdrome,0,0.5000007748603821,0.4999988675117493,server-intelbroadwell,0,0.5000013709068298,0.4999982714653015,server-intelcascadelake,0,0.5000023245811462,0.4999973177909851,server-intelhaswell,0,0.5000013709068298,0.4999982714653015,server-intelivybridge,6,0.4999999403953552,0.4999997019767761,server-intelsandybridge,6,0.4999999403953552,0.4999997019767761,server-intelskylake,0,0.5000023245811462,0.4999973177909851
intel-xlake,fmnist,53,45.774791866841746,266,45.77480739420764,9,0.4998428225517273,0.4998330473899841,30,155.0256101887808,server-amdrome,9,0.4998405575752258,0.4998353123664856,server-intelbroadwell,9,0.499839723110199,0.4998361468315125,server-intelcascadelake,7,0.4998380541801453,0.4998378157615662,server-intelhaswell,9,0.499839723110199,0.4998361468315125,server-intelivybridge,9,0.4998388886451721,0.4998369812965393,server-intelsandybridge,9,0.4998388886451721,0.4998369812965393,server-intelskylake,7,0.4998380541801453,0.4998378157615662
amd,fmnist,54,43.39517437676925,254,43.39518369913513,6,0.5000030398368835,0.4999937415122986,47,155.3022439395731,server-amdrome,4,0.4999983906745911,0.4999983906745911,server-intelbroadwell,6,0.4999999403953552,0.4999968409538269,server-intelcascadelake,6,0.4999998211860657,0.4999969601631165,server-intelhaswell,6,0.4999999403953552,0.4999968409538269,server-intelivybridge,6,0.5000002980232239,0.4999964833259583,server-intelsandybridge,6,0.5000002980232239,0.4999964833259583,server-intelskylake,6,0.4999998211860657,0.4999969601631165
intel-xlake,fmnist,58,79.49044500547484,112,79.48965439888956,0,0.4889727532863617,0.488963782787323,32,155.10418807630703,server-amdrome,0,0.4889689087867737,0.4889673888683319,server-intelbroadwell,0,0.488968700170517,0.4889676570892334,server-intelcascadelake,6,0.4889685213565826,0.4889678359031677,server-intelhaswell,0,0.488968700170517,0.4889676570892334,server-intelivybridge,0,0.4889702200889587,0.4889660179615021,server-intelsandybridge,0,0.4889702200889587,0.4889660179615021,server-intelskylake,6,0.4889685213565826,0.4889678359031677
amd,fmnist,60,44.73072666691489,159,44.730732771565314,1,0.4999563097953797,0.4999470114707947,11,163.22044943017931,server-amdrome,6,0.4999522566795349,0.4999510645866394,server-intelbroadwell,1,0.4999520182609558,0.4999513030052185,server-intelcascadelake,1,0.4999534487724304,0.4999498724937439,server-intelhaswell,1,0.4999520182609558,0.4999513030052185,server-intelivybridge,1,0.4999540448188782,0.4999492764472962,server-intelsandybridge,1,0.4999540448188782,0.4999492764472962,server-intelskylake,1,0.4999534487724304,0.4999498724937439
amd,fmnist,62,46.54485390258997,161,46.54486281592693,7,0.4993394315242767,0.499331921339035,14,161.76026765760938,server-amdrome,5,0.4993357062339783,0.4993357062339783,server-intelbroadwell,7,0.4993364214897156,0.499334990978241,server-intelcascadelake,7,0.4993367791175842,0.4993346333503723,server-intelhaswell,7,0.4993364214897156,0.499334990978241,server-intelivybridge,7,0.4993367195129394,0.4993346929550171,server-intelsandybridge,7,0.4993367195129394,0.4993346929550171,server-intelskylake,7,0.4993367791175842,0.4993346333503723
amd,fmnist,63,44.06929495120189,199,44.069301403200654,2,0.4998269081115722,0.4998177289962769,21,161.03157523002423,server-amdrome,6,0.4998224377632141,0.499822199344635,server-intelbroadwell,2,0.4998233318328858,0.4998213052749634,server-intelcascadelake,2,0.4998235106468201,0.499821126461029,server-intelhaswell,2,0.4998233318328858,0.4998213052749634,server-intelivybridge,2,0.4998231530189514,0.4998214840888977,server-intelsandybridge,2,0.4998231530189514,0.4998214840888977,server-intelskylake,2,0.4998235106468201,0.499821126461029
intel-xlake,fmnist,64,46.4837844026333,198,46.48379916795622,4,0.4987106919288635,0.4987011849880218,24,156.53505262099063,server-amdrome,4,0.4987080693244934,0.4987037777900696,server-intelbroadwell,4,0.498706191778183,0.4987057149410248,server-intelcascadelake,6,0.4987065494060517,0.4987053573131561,server-intelhaswell,4,0.498706191778183,0.4987057149410248,server-intelivybridge,4,0.4987072348594666,0.4987046122550965,server-intelsandybridge,4,0.4987072348594666,0.4987046122550965,server-intelskylake,6,0.4987065494060517,0.4987053573131561
amd,fmnist,65,52.085061544704075,155,52.0850794198487,6,0.5000003576278687,0.4999929666519165,23,160.9994341384967,server-amdrome,0,0.4999969005584717,0.4999964237213135,server-intelbroadwell,6,0.4999985694885254,0.4999947547912598,server-intelcascadelake,6,0.5000001192092896,0.4999932050704956,server-intelhaswell,6,0.4999985694885254,0.4999947547912598,server-intelivybridge,6,0.4999983310699463,0.4999949932098389,server-intelsandybridge,6,0.4999983310699463,0.4999949932098389,server-intelskylake,6,0.5000001192092896,0.4999932050704956
intel-xbridge,fmnist,66,54.63070409571494,176,54.63074080760197,2,0.5000044703483582,0.4999954104423523,55,154.79405197533603,server-amdrome,2,0.5000014901161194,0.4999983906745911,server-intelbroadwell,2,0.5000011324882507,0.4999987483024597,server-intelcascadelake,2,0.5000004172325134,0.499999463558197,server-intelhaswell,2,0.5000011324882507,0.4999987483024597,server-intelivybridge,6,0.5000000596046448,0.4999998211860657,server-intelsandybridge,6,0.5000000596046448,0.4999998211860657,server-intelskylake,2,0.5000004172325134,0.499999463558197
amd,fmnist,67,56.159531931205606,166,56.159604117469065,6,0.4669121503829956,0.4669027328491211,48,152.87890861202354,server-amdrome,2,0.4669073522090912,0.4669072926044464,server-intelbroadwell,6,0.4669080376625061,0.4669066965579986,server-intelcascadelake,6,0.4669093489646912,0.4669053554534912,server-intelhaswell,6,0.4669080376625061,0.4669066965579986,server-intelivybridge,6,0.4669111669063568,0.466903418302536,server-intelsandybridge,6,0.4669111669063568,0.466903418302536,server-intelskylake,6,0.4669093489646912,0.4669053554534912
intel-xbridge,fmnist,68,48.068310283008095,194,48.06832699238611,6,0.5000045895576477,0.4999952912330627,41,155.69879359448103,server-amdrome,6,0.5000017285346985,0.499998152256012,server-intelbroadwell,6,0.5000012516975403,0.4999986290931702,server-intelcascadelake,6,0.5000017285346985,0.499998152256012,server-intelhaswell,6,0.5000012516975403,0.4999986290931702,server-intelivybridge,4,0.5000000596046448,0.4999998211860657,server-intelsandybridge,4,0.5000000596046448,0.4999998211860657,server-intelskylake,6,0.5000017285346985,0.499998152256012
amd,fmnist,70,47.08326360905382,154,47.08327289164324,1,0.4948427975177765,0.4948334693908691,12,162.4076947755624,server-amdrome,2,0.4948382675647736,0.4948379695415497,server-intelbroadwell,1,0.4948395490646362,0.4948366582393646,server-intelcascadelake,1,0.4948382079601288,0.4948379695415497,server-intelhaswell,1,0.4948395490646362,0.4948366582393646,server-intelivybridge,1,0.4948397874832153,0.4948363602161408,server-intelsandybridge,1,0.4948397874832153,0.4948363602161408,server-intelskylake,1,0.4948382079601288,0.4948379695415497
intel-xlake,fmnist,71,57.954164259924134,110,57.95420741591745,7,0.4999422430992127,0.4999329447746277,12,161.66013512442763,server-amdrome,7,0.4999397397041321,0.4999354481697082,server-intelbroadwell,7,0.4999387860298157,0.4999364018440247,server-intelcascadelake,5,0.4999377131462097,0.4999374747276306,server-intelhaswell,7,0.4999387860298157,0.4999364018440247,server-intelivybridge,7,0.4999385476112366,0.4999366402626038,server-intelsandybridge,7,0.4999385476112366,0.4999366402626038,server-intelskylake,5,0.4999377131462097,0.4999374747276306
intel-xlake,fmnist,72,46.53947073797226,191,46.5394842694687,6,0.4999149441719055,0.4999054074287415,46,156.29007281347768,server-amdrome,6,0.4999112188816071,0.4999091923236847,server-intelbroadwell,6,0.4999116957187653,0.4999087154865265,server-intelcascadelake,2,0.4999102056026459,0.4999102056026459,server-intelhaswell,6,0.4999116957187653,0.4999087154865265,server-intelivybridge,6,0.4999107420444489,0.4999096691608429,server-intelsandybridge,6,0.4999107420444489,0.4999096691608429,server-intelskylake,2,0.4999102056026459,0.4999102056026459
