identified_MA,model_type,sample_index,total_psnr,local_steps,local_psnr,local_label,local_conf1,local_conf2,remote_steps,remote_psnr,s0_hostname,s0_label,s0_conf1,s0_conf2,s1_hostname,s1_label,s1_conf1,s1_conf2,s2_hostname,s2_label,s2_conf1,s2_conf2,s3_hostname,s3_label,s3_conf1,s3_conf2,s4_hostname,s4_label,s4_conf1,s4_conf2,s5_hostname,s5_label,s5_conf1,s5_conf2
intel-xbridge,cifar10,1,58.248714242586615,151,58.248737004887026,0,0.4987942576408386,0.4987845122814178,344,151.94892826145974,server-intelbroadwell,0,0.4987912178039551,0.4987874031066895,server-intelcascadelake,0,0.4987920522689819,0.4987865686416626,server-intelhaswell,0,0.4987912178039551,0.4987874031066895,server-intelivybridge,2,0.4987896978855133,0.498788982629776,server-intelsandybridge,2,0.4987896978855133,0.498788982629776,server-intelskylake,0,0.4987920522689819,0.4987865686416626
intel-xwell,fmnist,10,47.472340989276454,225,47.472359970228155,0,0.5000001192092896,0.4999903440475464,34,155.2257898621819,server-intelbroadwell,2,0.4999955892562866,0.4999948740005493,server-intelcascadelake,0,0.4999955892562866,0.4999948740005493,server-intelhaswell,2,0.4999955892562866,0.4999948740005493,server-intelivybridge,0,0.4999972581863403,0.4999932050704956,server-intelsandybridge,0,0.4999972581863403,0.4999932050704956,server-intelskylake,0,0.4999955892562866,0.4999948740005493
intel-xwell,fmnist,12,60.71562862390279,124,60.71571886275657,2,0.4999798536300659,0.4999703168869018,30,155.1085691423571,server-intelbroadwell,6,0.499975323677063,0.4999748468399048,server-intelcascadelake,2,0.4999764561653137,0.4999737143516541,server-intelhaswell,6,0.499975323677063,0.4999748468399048,server-intelivybridge,2,0.499977171421051,0.4999729990959168,server-intelsandybridge,2,0.499977171421051,0.4999729990959168,server-intelskylake,2,0.4999764561653137,0.4999737143516541
intel-xlake,fmnist,13,44.38391062528759,189,44.38392016331788,3,0.4935565292835236,0.49354687333107,18,158.83342671656646,server-intelbroadwell,3,0.4935524463653565,0.4935509264469147,server-intelcascadelake,4,0.4935518801212311,0.4935514628887177,server-intelhaswell,3,0.4935524463653565,0.4935509264469147,server-intelivybridge,3,0.4935531616210938,0.4935503005981445,server-intelsandybridge,3,0.4935531616210938,0.4935503005981445,server-intelskylake,4,0.4935518801212311,0.4935514628887177
intel-xlake,fmnist,15,46.454405083179815,200,46.4544253359295,6,0.4928211867809296,0.4928117990493774,37,153.63855742583172,server-intelbroadwell,6,0.4928176403045654,0.4928152859210968,server-intelcascadelake,0,0.4928165376186371,0.492816299200058,server-intelhaswell,6,0.4928176403045654,0.4928152859210968,server-intelivybridge,6,0.4928189814090729,0.492813915014267,server-intelsandybridge,6,0.4928189814090729,0.492813915014267,server-intelskylake,0,0.4928165376186371,0.492816299200058
intel-xwell,fmnist,16,50.68144191971883,161,50.68145901716542,7,0.4994097650051117,0.4994015395641327,15,161.58498036530972,server-intelbroadwell,5,0.4994056820869446,0.4994056820869446,server-intelcascadelake,7,0.4994065165519714,0.4994048476219177,server-intelhaswell,5,0.4994056820869446,0.4994056820869446,server-intelivybridge,7,0.4994059801101685,0.4994053840637207,server-intelsandybridge,7,0.4994059801101685,0.4994053840637207,server-intelskylake,7,0.4994065165519714,0.4994048476219177
intel-xbridge,fmnist,18,51.21016266965843,145,51.210177805253714,2,0.4999655485153198,0.4999560117721558,19,162.52129541089548,server-intelbroadwell,2,0.4999635219573975,0.4999580383300781,server-intelcascadelake,2,0.4999635219573975,0.4999580383300781,server-intelhaswell,2,0.4999635219573975,0.4999580383300781,server-intelivybridge,6,0.4999608993530274,0.4999606609344482,server-intelsandybridge,6,0.4999608993530274,0.4999606609344482,server-intelskylake,2,0.4999635219573975,0.4999580383300781
failure,cifar10,2,0.0,728,51.36597412690431,6,0.4999908804893494,0.4999813437461853,500,146.3176166994861,server-intelbroadwell,6,0.4999894499778748,0.4999827742576599,server-intelcascadelake,6,0.4999906420707703,0.4999815821647644,server-intelhaswell,6,0.4999894499778748,0.4999827742576599,server-intelivybridge,6,0.4999887347221375,0.4999834895133972,server-intelsandybridge,6,0.4999887347221375,0.4999834895133972,server-intelskylake,6,0.4999906420707703,0.4999815821647644
intel-xlake,fmnist,20,72.41975136734033,119,72.42009695926986,2,0.4928538501262665,0.4928449094295502,30,156.28178381551373,server-intelbroadwell,2,0.4928498566150665,0.4928489029407501,server-intelcascadelake,0,0.4928494393825531,0.4928492605686188,server-intelhaswell,2,0.4928498566150665,0.4928489029407501,server-intelivybridge,2,0.4928522706031799,0.4928463995456696,server-intelsandybridge,2,0.4928522706031799,0.4928463995456696,server-intelskylake,0,0.4928494393825531,0.4928492605686188
intel-xwell,fmnist,21,45.050472349094896,228,45.05048650215824,4,0.5000047087669373,0.4999951720237732,38,154.21672078867266,server-intelbroadwell,6,0.5000001788139343,0.4999997019767761,server-intelcascadelake,4,0.5000011324882507,0.4999987483024597,server-intelhaswell,6,0.5000001788139343,0.4999997019767761,server-intelivybridge,4,0.5000013709068298,0.4999985098838806,server-intelsandybridge,4,0.5000013709068298,0.4999985098838806,server-intelskylake,4,0.5000011324882507,0.4999987483024597
intel-xlake,fmnist,22,49.396102816463795,165,49.39611965838722,4,0.5000041127204895,0.4999955296516418,16,159.71989353593102,server-intelbroadwell,4,0.5000002980232239,0.4999993443489074,server-intelcascadelake,6,0.5000000596046448,0.4999995827674866,server-intelhaswell,4,0.5000002980232239,0.4999993443489074,server-intelivybridge,4,0.5000017285346985,0.4999979138374329,server-intelsandybridge,4,0.5000017285346985,0.4999979138374329,server-intelskylake,6,0.5000000596046448,0.4999995827674866
intel-xlake,fmnist,23,52.80679110199651,150,52.80682728516892,4,0.500004768371582,0.4999949932098389,35,155.9147738492848,server-intelbroadwell,4,0.5000004768371582,0.4999992847442627,server-intelcascadelake,2,0.5,0.4999997615814209,server-intelhaswell,4,0.5000004768371582,0.4999992847442627,server-intelivybridge,4,0.5000015497207642,0.4999982118606568,server-intelsandybridge,4,0.5000015497207642,0.4999982118606568,server-intelskylake,2,0.5,0.4999997615814209
intel-xbridge,cifar10,3,51.002424478126535,450,51.0024299510565,9,0.4933349788188934,0.493329793214798,376,151.74792293469014,server-intelbroadwell,9,0.4933329522609711,0.49333178997039795,server-intelcascadelake,9,0.49333256483078003,0.4933323264122009,server-intelhaswell,9,0.4933329522609711,0.49333178997039795,server-intelivybridge,0,0.49333256483078003,0.4933323264122009,server-intelsandybridge,0,0.49333256483078003,0.4933323264122009,server-intelskylake,9,0.49333256483078003,0.4933323264122009
intel-xbridge,fmnist,24,64.03335160846123,117,64.03346315175395,2,0.4715578258037567,0.4715479016304016,28,157.25047730818724,server-intelbroadwell,2,0.4715542197227478,0.4715518057346344,server-intelcascadelake,2,0.4715534746646881,0.4715525805950165,server-intelhaswell,2,0.4715542197227478,0.4715518057346344,server-intelivybridge,3,0.471553087234497,0.471552848815918,server-intelsandybridge,3,0.471553087234497,0.471552848815918,server-intelskylake,2,0.4715534746646881,0.4715525805950165
intel-xlake,cifar10,4,69.08308401593052,85,69.08315897219228,7,0.4394224882125855,0.4394135177135468,48,160.17709153959663,server-intelbroadwell,7,0.4394192397594452,0.4394165575504303,server-intelcascadelake,5,0.43941789865493774,0.4394177794456482,server-intelhaswell,7,0.4394192397594452,0.4394165575504303,server-intelivybridge,7,0.4394193589687347,0.439416229724884,server-intelsandybridge,7,0.4394193589687347,0.439416229724884,server-intelskylake,5,0.43941789865493774,0.4394177794456482
intel-xlake,fmnist,26,42.290872181935406,218,42.290877804717724,7,0.4986082315444946,0.4985997378826141,38,159.4603513778784,server-intelbroadwell,7,0.4986049830913544,0.498602956533432,server-intelcascadelake,9,0.4986039698123932,0.4986039400100708,server-intelhaswell,7,0.4986049830913544,0.498602956533432,server-intelivybridge,7,0.4986048638820648,0.4986031353473663,server-intelsandybridge,7,0.4986048638820648,0.4986031353473663,server-intelskylake,9,0.4986039698123932,0.4986039400100708
intel-xlake,fmnist,27,45.5183694962274,278,45.51839117043549,4,0.5000033974647522,0.4999943375587464,50,152.5479757790719,server-intelbroadwell,4,0.5000000596046448,0.4999976754188538,server-intelcascadelake,2,0.499999463558197,0.4999982714653015,server-intelhaswell,4,0.5000000596046448,0.4999976754188538,server-intelivybridge,4,0.4999995827674866,0.499998152256012,server-intelsandybridge,4,0.4999995827674866,0.499998152256012,server-intelskylake,2,0.499999463558197,0.4999982714653015
intel-xwell,fmnist,28,66.43574333807378,112,66.43587317948683,6,0.4999932646751404,0.4999834895133972,29,157.23609889900567,server-intelbroadwell,2,0.4999884366989136,0.4999884366989136,server-intelcascadelake,6,0.4999886751174927,0.4999881982803345,server-intelhaswell,2,0.4999884366989136,0.4999884366989136,server-intelivybridge,6,0.499988853931427,0.4999880194664002,server-intelsandybridge,6,0.499988853931427,0.4999880194664002,server-intelskylake,6,0.4999886751174927,0.4999881982803345
intel-xlake,fmnist,29,54.134089483988255,155,54.13413808994242,4,0.499996542930603,0.4999872446060181,30,154.5449511393309,server-intelbroadwell,4,0.4999924898147583,0.4999912977218628,server-intelcascadelake,2,0.4999923706054688,0.4999914169311523,server-intelhaswell,4,0.4999924898147583,0.4999912977218628,server-intelivybridge,4,0.499996542930603,0.4999872446060181,server-intelsandybridge,4,0.499996542930603,0.4999872446060181,server-intelskylake,2,0.4999923706054688,0.4999914169311523
intel-xwell,fmnist,31,69.75681498073932,95,69.75702740201542,5,0.4999980926513672,0.4999887943267822,13,159.85449561790637,server-intelbroadwell,7,0.4999936819076538,0.4999932050704956,server-intelcascadelake,5,0.4999949932098389,0.4999918937683106,server-intelhaswell,7,0.4999936819076538,0.4999932050704956,server-intelivybridge,5,0.499995231628418,0.4999916553497314,server-intelsandybridge,5,0.499995231628418,0.4999916553497314,server-intelskylake,5,0.4999949932098389,0.4999918937683106
failure,cifar10,6,0.0,178,57.266568397798316,7,0.4989417493343353,0.4989357888698578,500,153.7365811557926,server-intelbroadwell,7,0.4989403486251831,0.4989372491836548,server-intelcascadelake,7,0.4989389181137085,0.4989386796951294,server-intelhaswell,7,0.4989403486251831,0.4989372491836548,server-intelivybridge,7,0.4989405572414398,0.4989369809627533,server-intelsandybridge,7,0.4989405572414398,0.4989369809627533,server-intelskylake,7,0.4989389181137085,0.4989386796951294
intel-xlake,fmnist,32,46.84340923429304,285,46.84343367628517,9,0.4850957691669464,0.4850864112377167,50,151.83913882020425,server-intelbroadwell,9,0.4850917458534241,0.4850902855396271,server-intelcascadelake,7,0.4850910604000092,0.4850910007953644,server-intelhaswell,9,0.4850917458534241,0.4850902855396271,server-intelivybridge,9,0.4850919544696808,0.485090047121048,server-intelsandybridge,9,0.4850919544696808,0.485090047121048,server-intelskylake,7,0.4850910604000092,0.4850910007953644
intel-xbridge,cifar10,7,58.734024850875684,125,58.734038130939076,8,0.4999710321426392,0.4999674558639526,49,160.59633678082363,server-intelbroadwell,0,0.4999697208404541,0.4999687671661377,server-intelcascadelake,0,0.4999697208404541,0.4999687671661377,server-intelhaswell,0,0.4999697208404541,0.4999687671661377,server-intelivybridge,8,0.4999693632125855,0.4999691247940064,server-intelsandybridge,8,0.4999693632125855,0.4999691247940064,server-intelskylake,0,0.4999697208404541,0.4999687671661377
intel-xbridge,fmnist,33,43.222354246966,249,43.222365528272064,5,0.4996606111526489,0.4996522665023804,45,155.91077591164438,server-intelbroadwell,5,0.4996582865715027,0.4996545910835266,server-intelcascadelake,5,0.4996569156646729,0.4996559619903565,server-intelhaswell,5,0.4996582865715027,0.4996545910835266,server-intelivybridge,7,0.4996564984321594,0.4996562600135803,server-intelsandybridge,7,0.4996564984321594,0.4996562600135803,server-intelskylake,5,0.4996569156646729,0.4996559619903565
intel-xbridge,fmnist,34,48.94431430684429,226,48.94433877742246,4,0.4916062653064728,0.4915963113307953,65,154.10891890183112,server-intelbroadwell,4,0.4916018843650818,0.4916007220745087,server-intelcascadelake,4,0.4916023910045624,0.4916001558303833,server-intelhaswell,4,0.4916018843650818,0.4916007220745087,server-intelivybridge,2,0.4916013777256012,0.4916012585163117,server-intelsandybridge,2,0.4916013777256012,0.4916012585163117,server-intelskylake,4,0.4916023910045624,0.4916001558303833
intel-xlake,fmnist,35,57.65166927569481,157,57.65173051695105,4,0.4996153712272644,0.4996055960655213,34,156.73108665077447,server-intelbroadwell,4,0.4996117353439331,0.499609112739563,server-intelcascadelake,2,0.4996105432510376,0.4996103048324585,server-intelhaswell,4,0.4996117353439331,0.499609112739563,server-intelivybridge,4,0.4996116161346436,0.4996092319488525,server-intelsandybridge,4,0.4996116161346436,0.4996092319488525,server-intelskylake,2,0.4996105432510376,0.4996103048324585
intel-xbridge,fmnist,36,51.38218915465488,134,51.38220463030969,3,0.4997548460960388,0.4997462630271912,17,162.9318040178143,server-intelbroadwell,3,0.4997521638870239,0.4997489452362061,server-intelcascadelake,3,0.4997522234916687,0.4997489452362061,server-intelhaswell,3,0.4997521638870239,0.4997489452362061,server-intelivybridge,6,0.499750554561615,0.4997504949569702,server-intelsandybridge,6,0.499750554561615,0.4997504949569702,server-intelskylake,3,0.4997522234916687,0.4997489452362061
intel-xlake,fmnist,37,43.50352899099685,240,43.50354031885809,3,0.4997491240501404,0.4997393488883972,21,156.45982447319147,server-intelbroadwell,3,0.4997453093528748,0.4997431635856629,server-intelcascadelake,2,0.4997442364692688,0.4997442364692688,server-intelhaswell,3,0.4997453093528748,0.4997431635856629,server-intelivybridge,3,0.4997450709342957,0.4997434020042419,server-intelsandybridge,3,0.4997450709342957,0.4997434020042419,server-intelskylake,2,0.4997442364692688,0.4997442364692688
intel-xwell,fmnist,39,47.029720153293646,157,47.029737693716115,7,0.5000044703483582,0.4999951720237732,24,157.297968024498,server-intelbroadwell,9,0.5000001788139343,0.499999463558197,server-intelcascadelake,7,0.5000001788139343,0.499999463558197,server-intelhaswell,9,0.5000001788139343,0.499999463558197,server-intelivybridge,7,0.5000012516975403,0.4999983906745911,server-intelsandybridge,7,0.5000012516975403,0.4999983906745911,server-intelskylake,7,0.5000001788139343,0.499999463558197
failure,cifar10,8,0.0,1316,73.23199418625269,5,0.4938614368438721,0.4938525855541229,500,153.21437050344628,server-intelbroadwell,5,0.4938623011112213,0.4938518404960632,server-intelcascadelake,5,0.493861198425293,0.4938530325889587,server-intelhaswell,5,0.4938623011112213,0.4938518404960632,server-intelivybridge,5,0.4938611090183258,0.4938530623912811,server-intelsandybridge,5,0.4938611090183258,0.4938530623912811,server-intelskylake,5,0.493861198425293,0.4938530325889587
intel-xwell,fmnist,40,46.87710602192568,152,46.87711448928884,5,0.4990486204624176,0.4990393817424774,13,163.9425772608288,server-intelbroadwell,9,0.4990442097187042,0.4990436136722565,server-intelcascadelake,5,0.4990441501140594,0.4990436732769013,server-intelhaswell,9,0.4990442097187042,0.4990436136722565,server-intelivybridge,5,0.4990448653697968,0.499042958021164,server-intelsandybridge,5,0.4990448653697968,0.499042958021164,server-intelskylake,5,0.4990441501140594,0.4990436732769013
intel-xbridge,fmnist,41,45.82617661432309,177,45.82618809629057,3,0.4993511438369751,0.499341607093811,26,158.25963063129788,server-intelbroadwell,3,0.4993482530117035,0.4993445575237274,server-intelcascadelake,3,0.499348372220993,0.4993444383144378,server-intelhaswell,3,0.4993482530117035,0.4993445575237274,server-intelivybridge,6,0.499346524477005,0.4993462264537811,server-intelsandybridge,6,0.499346524477005,0.4993462264537811,server-intelskylake,3,0.499348372220993,0.4993444383144378
intel-xwell,fmnist,42,50.88021144585159,188,50.8802477259709,0,0.4999881386756897,0.4999783635139465,50,152.7289781595099,server-intelbroadwell,6,0.4999839663505554,0.4999825358390808,server-intelcascadelake,0,0.4999832510948181,0.4999832510948181,server-intelhaswell,6,0.4999839663505554,0.4999825358390808,server-intelivybridge,0,0.4999861121177673,0.4999803900718689,server-intelsandybridge,0,0.4999861121177673,0.4999803900718689,server-intelskylake,0,0.4999832510948181,0.4999832510948181
intel-xlake,fmnist,43,60.43163442855607,109,60.43169141572477,0,0.4988292455673218,0.4988197386264801,18,159.33894528114598,server-intelbroadwell,0,0.4988255202770233,0.498823493719101,server-intelcascadelake,2,0.4988246262073517,0.4988243877887726,server-intelhaswell,0,0.4988255202770233,0.498823493719101,server-intelivybridge,0,0.4988252222537994,0.4988237917423248,server-intelsandybridge,0,0.4988252222537994,0.4988237917423248,server-intelskylake,2,0.4988246262073517,0.4988243877887726
intel-xbridge,fmnist,44,57.124482247371596,152,57.124520954258706,0,0.4853458404541016,0.485336571931839,28,158.94295452144402,server-intelbroadwell,0,0.4853432774543762,0.4853391051292419,server-intelcascadelake,0,0.4853425920009613,0.4853399395942688,server-intelhaswell,0,0.4853432774543762,0.4853391051292419,server-intelivybridge,2,0.4853413999080658,0.4853410422801971,server-intelsandybridge,2,0.4853413999080658,0.4853410422801971,server-intelskylake,0,0.4853425920009613,0.4853399395942688
intel-xbridge,fmnist,49,50.16191964944864,190,50.16193932915758,6,0.4999675750732422,0.49995779991149897,21,157.2441961136679,server-intelbroadwell,6,0.4999649524688721,0.4999604225158691,server-intelcascadelake,6,0.4999649524688721,0.4999604225158691,server-intelhaswell,6,0.4999649524688721,0.4999604225158691,server-intelivybridge,4,0.4999626874923706,0.4999626874923706,server-intelsandybridge,4,0.4999626874923706,0.4999626874923706,server-intelskylake,6,0.4999649524688721,0.4999604225158691
intel-xbridge,fmnist,50,55.801262352953536,136,55.80129652679732,2,0.4999279975891113,0.4999184608459473,29,158.6163494799043,server-intelbroadwell,2,0.4999256134033203,0.4999208450317383,server-intelcascadelake,2,0.4999252557754517,0.4999212026596069,server-intelhaswell,2,0.4999256134033203,0.4999208450317383,server-intelivybridge,6,0.49992358684539795,0.4999228715896606,server-intelsandybridge,6,0.49992358684539795,0.4999228715896606,server-intelskylake,2,0.4999252557754517,0.4999212026596069
intel-xlake,fmnist,51,54.74179404037426,100,54.741816402784394,0,0.4992602169513702,0.4992528259754181,23,161.698967196348,server-intelbroadwell,0,0.4992572367191314,0.4992558062076569,server-intelcascadelake,2,0.4992566406726837,0.4992564022541046,server-intelhaswell,0,0.4992572367191314,0.4992558062076569,server-intelivybridge,0,0.4992569983005524,0.499256044626236,server-intelsandybridge,0,0.4992569983005524,0.499256044626236,server-intelskylake,2,0.4992566406726837,0.4992564022541046
failure,cifar10,10,0.0,475,56.49989753347409,7,0.4952861368656158,0.4952764511108398,500,151.88855334556825,server-intelbroadwell,7,0.4952832162380218,0.4952794313430786,server-intelcascadelake,7,0.4952844977378845,0.4952781200408936,server-intelhaswell,7,0.4952832162380218,0.4952794313430786,server-intelivybridge,7,0.4952821731567383,0.495280534029007,server-intelsandybridge,7,0.4952821731567383,0.495280534029007,server-intelskylake,7,0.4952844977378845,0.4952781200408936
intel-xbridge,fmnist,52,73.93120833095684,130,73.93160050430475,0,0.5000047087669373,0.4999949336051941,41,155.90504804939408,server-intelbroadwell,0,0.5000013709068298,0.4999982714653015,server-intelcascadelake,0,0.5000023245811462,0.4999973177909851,server-intelhaswell,0,0.5000013709068298,0.4999982714653015,server-intelivybridge,6,0.4999999403953552,0.4999997019767761,server-intelsandybridge,6,0.4999999403953552,0.4999997019767761,server-intelskylake,0,0.5000023245811462,0.4999973177909851
intel-xbridge,fmnist,53,45.77478947802115,266,45.77480739420764,9,0.4998428225517273,0.4998330473899841,43,154.12650382208864,server-intelbroadwell,9,0.4998391270637512,0.4998367428779602,server-intelcascadelake,9,0.4998390078544617,0.4998368620872498,server-intelhaswell,9,0.4998391270637512,0.4998367428779602,server-intelivybridge,7,0.4998381733894348,0.4998376965522766,server-intelsandybridge,7,0.4998381733894348,0.4998376965522766,server-intelskylake,9,0.4998390078544617,0.4998368620872498
intel-xlake,fmnist,54,43.3951729956797,254,43.39518369913513,6,0.5000030398368835,0.4999937415122986,36,154.62656436294893,server-intelbroadwell,6,0.4999991059303284,0.4999976754188538,server-intelcascadelake,4,0.4999985098838806,0.4999982714653015,server-intelhaswell,6,0.4999991059303284,0.4999976754188538,server-intelivybridge,6,0.4999993443489074,0.4999974370002746,server-intelsandybridge,6,0.4999993443489074,0.4999974370002746,server-intelskylake,4,0.4999985098838806,0.4999982714653015
intel-xlake,fmnist,56,42.34646384230616,289,42.34647252073831,5,0.4601135849952698,0.4601040780544281,37,156.1450777296343,server-intelbroadwell,5,0.4601099193096161,0.4601077735424042,server-intelcascadelake,7,0.460109144449234,0.4601085782051086,server-intelhaswell,5,0.4601099193096161,0.4601077735424042,server-intelivybridge,5,0.4601100087165833,0.4601077735424042,server-intelsandybridge,5,0.4601100087165833,0.4601077735424042,server-intelskylake,7,0.460109144449234,0.4601085782051086
failure,cifar10,11,0.0,290,57.014451806481425,2,0.4999316930770874,0.4999278783798218,500,162.86333422432978,server-intelbroadwell,2,0.4999320507049561,0.4999275207519531,server-intelcascadelake,2,0.4999328851699829,0.4999266862869263,server-intelhaswell,2,0.4999320507049561,0.4999275207519531,server-intelivybridge,2,0.4999322891235352,0.49992728233337397,server-intelsandybridge,2,0.4999322891235352,0.49992728233337397,server-intelskylake,2,0.4999328851699829,0.4999266862869263
intel-xlake,fmnist,58,79.49045701145644,112,79.48965439888956,0,0.4889727532863617,0.488963782787323,35,154.96826423198505,server-intelbroadwell,0,0.4889686405658722,0.4889677166938782,server-intelcascadelake,6,0.4889682233333588,0.4889681041240692,server-intelhaswell,0,0.4889686405658722,0.4889677166938782,server-intelivybridge,0,0.4889703989028929,0.4889657497406006,server-intelsandybridge,0,0.4889703989028929,0.4889657497406006,server-intelskylake,6,0.4889682233333588,0.4889681041240692
intel-xwell,fmnist,60,44.730726197326746,159,44.730732771565314,1,0.4999563097953797,0.4999470114707947,11,162.5029962949099,server-intelbroadwell,6,0.4999518990516663,0.4999514222145081,server-intelcascadelake,1,0.499952495098114,0.4999508261680603,server-intelhaswell,6,0.4999518990516663,0.4999514222145081,server-intelivybridge,1,0.4999529719352722,0.4999503493309021,server-intelsandybridge,1,0.4999529719352722,0.4999503493309021,server-intelskylake,1,0.499952495098114,0.4999508261680603
intel-xlake,fmnist,62,46.54485211992478,161,46.54486281592693,7,0.4993394315242767,0.499331921339035,14,161.06174027629586,server-intelbroadwell,7,0.4993360638618469,0.4993353486061096,server-intelcascadelake,5,0.4993357062339783,0.4993357062339783,server-intelhaswell,7,0.4993360638618469,0.4993353486061096,server-intelivybridge,7,0.499336302280426,0.4993351101875305,server-intelsandybridge,7,0.499336302280426,0.4993351101875305,server-intelskylake,5,0.4993357062339783,0.4993357062339783
