"","identified_MA","model_type","sample_index","total_psnr","local_steps","local_psnr","local_label","local_conf1","local_conf2","remote_steps","remote_psnr","s0_hostname","s0_label","s0_conf1","s0_conf2","s1_hostname","s1_label","s1_conf1","s1_conf2","s2_hostname","s2_label","s2_conf1","s2_conf2","s3_hostname","s3_label","s3_conf1","s3_conf2","s4_hostname","s4_label","s4_conf1","s4_conf2","s5_hostname","s5_label","s5_conf1","s5_conf2","s6_hostname","s6_label","s6_conf1","s6_conf2","total_steps","gt_label"
"20","intel-xlake","fmnist",29,54.1340940887395,155,54.1341380899424,4,0.499996542930603,0.499987244606018,25,155.383818806436,"server-amdrome","4",0.499992847442627,0.499990940093994,"server-intelbroadwell","4",0.499992728233337,0.499991059303284,"server-intelcascadelake","2",0.499992251396179,0.499991536140442,"server-intelhaswell","4",0.499992728233337,0.499991059303284,"server-intelivybridge","4",0.499996662139893,0.499987125396729,"server-intelsandybridge","4",0.499996662139893,0.499987125396729,"server-intelskylake","2",0.499992251396179,0.499991536140442,180,2
"21","intel-xwell","fmnist",31,69.7568149807393,95,69.7570274020154,5,0.499998092651367,0.499988794326782,13,159.854495617906,"server-amdrome","5",0.499995827674866,0.499991059303284,"server-intelbroadwell","7",0.499993681907654,0.499993205070496,"server-intelcascadelake","5",0.499994993209839,0.499991893768311,"server-intelhaswell","7",0.499993681907654,0.499993205070496,"server-intelivybridge","5",0.499995231628418,0.499991655349731,"server-intelsandybridge","5",0.499995231628418,0.499991655349731,"server-intelskylake","5",0.499994993209839,0.499991893768311,108,7
"22","intel-xlake","fmnist",32,46.8434103800083,285,46.8434336762852,9,0.485095769166946,0.485086411237717,51,152.050743149493,"server-amdrome","9",0.48509219288826,0.485089868307114,"server-intelbroadwell","9",0.48509219288826,0.485089808702469,"server-intelcascadelake","7",0.485091298818588,0.485090672969818,"server-intelhaswell","9",0.48509219288826,0.485089808702469,"server-intelivybridge","9",0.485091865062714,0.485090255737305,"server-intelsandybridge","9",0.485091865062714,0.485090255737305,"server-intelskylake","7",0.485091298818588,0.485090672969818,336,5
"23","intel-xbridge","fmnist",33,43.2223552423742,249,43.2223655282721,5,0.499660611152649,0.49965226650238,23,156.841058490146,"server-amdrome","5",0.49965763092041,0.499655246734619,"server-intelbroadwell","5",0.499658167362213,0.499654710292816,"server-intelcascadelake","5",0.499656975269318,0.499655902385712,"server-intelhaswell","5",0.499658167362213,0.499654710292816,"server-intelivybridge","7",0.499656438827515,0.499656319618225,"server-intelsandybridge","7",0.499656438827515,0.499656319618225,"server-intelskylake","5",0.499656975269318,0.499655902385712,272,9
"24","intel-xbridge","fmnist",34,48.9443149263509,226,48.9443387774225,4,0.491606265306473,0.491596311330795,47,154.474565693813,"server-amdrome","4",0.491603434085846,0.491599082946777,"server-intelbroadwell","4",0.491602510213852,0.491600155830383,"server-intelcascadelake","4",0.491603046655655,0.491599649190903,"server-intelhaswell","4",0.491602510213852,0.491600155830383,"server-intelivybridge","2",0.491601467132568,0.4916011095047,"server-intelsandybridge","2",0.491601467132568,0.4916011095047,"server-intelskylake","4",0.491603046655655,0.491599649190903,273,5
"25","intel-xlake","fmnist",35,57.6516770386231,157,57.651730516951,4,0.499615371227264,0.499605596065521,21,157.920428479798,"server-amdrome","4",0.499612390995026,0.49960857629776,"server-intelbroadwell","4",0.499611854553223,0.499608993530273,"server-intelcascadelake","2",0.499610424041748,0.499610424041748,"server-intelhaswell","4",0.499611854553223,0.499608993530273,"server-intelivybridge","4",0.499611854553223,0.499608993530273,"server-intelsandybridge","4",0.499611854553223,0.499608993530273,"server-intelskylake","2",0.499610424041748,0.499610424041748,178,4
"26","intel-xbridge","fmnist",36,51.3821891546549,134,51.3822046303097,3,0.499754846096039,0.499746263027191,17,162.931804017814,"server-amdrome","3",0.49975198507309,0.49974912405014,"server-intelbroadwell","3",0.499752163887024,0.499748945236206,"server-intelcascadelake","3",0.499752223491669,0.499748945236206,"server-intelhaswell","3",0.499752163887024,0.499748945236206,"server-intelivybridge","6",0.499750554561615,0.49975049495697,"server-intelsandybridge","6",0.499750554561615,0.49975049495697,"server-intelskylake","3",0.499752223491669,0.499748945236206,151,4
"27","intel-xlake","fmnist",37,43.5035289909968,240,43.5035403188581,3,0.49974912405014,0.499739348888397,34,155.566159661137,"server-amdrome","3",0.499745905399323,0.499742567539215,"server-intelbroadwell","3",0.499745070934296,0.499743402004242,"server-intelcascadelake","2",0.499744236469269,0.499744236469269,"server-intelhaswell","3",0.499745070934296,0.499743402004242,"server-intelivybridge","3",0.499744474887848,0.49974399805069,"server-intelsandybridge","3",0.499744474887848,0.49974399805069,"server-intelskylake","2",0.499744236469269,0.499744236469269,274,3
"28","intel-xlake","fmnist",39,47.0297213492293,157,47.0297376937161,7,0.500004470348358,0.499995172023773,25,157.520022777397,"server-amdrome","7",0.500000536441803,0.499999105930328,"server-intelbroadwell","7",0.499999880790711,0.499999642372131,"server-intelcascadelake","9",0.500000178813934,0.499999463558197,"server-intelhaswell","7",0.499999880790711,0.499999642372131,"server-intelivybridge","7",0.500001728534698,0.499997913837433,"server-intelsandybridge","7",0.500001728534698,0.499997913837433,"server-intelskylake","9",0.500000178813934,0.499999463558197,182,1
"29","intel-xlake","fmnist",40,46.8771060219257,152,46.8771144892888,5,0.499048620462418,0.499039381742477,27,162.998991948645,"server-amdrome","5",0.499045103788376,0.499042719602585,"server-intelbroadwell","5",0.499044328927994,0.499043434858322,"server-intelcascadelake","9",0.499044269323349,0.499043554067612,"server-intelhaswell","5",0.499044328927994,0.499043434858322,"server-intelivybridge","5",0.499044626951218,0.499043196439743,"server-intelsandybridge","5",0.499044626951218,0.499043196439743,"server-intelskylake","9",0.499044269323349,0.499043554067612,179,7
"30","amd","fmnist",41,45.8261787294201,177,45.8261880962906,3,0.499351143836975,0.499341607093811,18,160.28781544085,"server-amdrome","6",0.49934658408165,0.499346226453781,"server-intelbroadwell","3",0.499348014593124,0.499344795942307,"server-intelcascadelake","3",0.499346822500229,0.499345988035202,"server-intelhaswell","3",0.499348014593124,0.499344795942307,"server-intelivybridge","3",0.499348074197769,0.499344736337662,"server-intelsandybridge","3",0.499348074197769,0.499344736337662,"server-intelskylake","3",0.499346822500229,0.499345988035202,195,5
"31","intel-xwell","fmnist",42,50.8802124133175,188,50.8802477259709,0,0.49998813867569,0.499978363513946,45,152.988555441132,"server-amdrome","0",0.499984443187714,0.499982059001923,"server-intelbroadwell","6",0.499983370304108,0.499983131885529,"server-intelcascadelake","0",0.499984323978424,0.499982178211212,"server-intelhaswell","6",0.499983370304108,0.499983131885529,"server-intelivybridge","0",0.49998551607132,0.499980986118317,"server-intelsandybridge","0",0.49998551607132,0.499980986118317,"server-intelskylake","0",0.499984323978424,0.499982178211212,233,3
"32","intel-xlake","fmnist",43,60.4316344285561,109,60.4316914157248,0,0.498829245567322,0.49881973862648,18,159.338945281146,"server-amdrome","0",0.498826056718826,0.498822957277298,"server-intelbroadwell","0",0.498825520277023,0.498823493719101,"server-intelcascadelake","2",0.498824626207352,0.498824387788773,"server-intelhaswell","0",0.498825520277023,0.498823493719101,"server-intelivybridge","0",0.498825222253799,0.498823791742325,"server-intelsandybridge","0",0.498825222253799,0.498823791742325,"server-intelskylake","2",0.498824626207352,0.498824387788773,127,0
"33","intel-xbridge","fmnist",44,57.1244822473716,152,57.1245209542587,0,0.485345840454102,0.485336571931839,28,158.942954521444,"server-amdrome","0",0.485343992710114,0.485338568687439,"server-intelbroadwell","0",0.485343277454376,0.485339105129242,"server-intelcascadelake","0",0.485342592000961,0.485339939594269,"server-intelhaswell","0",0.485343277454376,0.485339105129242,"server-intelivybridge","2",0.485341399908066,0.485341042280197,"server-intelsandybridge","2",0.485341399908066,0.485341042280197,"server-intelskylake","0",0.485342592000961,0.485339939594269,180,0
"34","intel-xbridge","fmnist",49,50.1619196494486,190,50.1619393291576,6,0.499967575073242,0.499957799911499,21,157.244196113668,"server-amdrome","6",0.499964594841003,0.499960780143738,"server-intelbroadwell","6",0.499964952468872,0.499960422515869,"server-intelcascadelake","6",0.499964952468872,0.499960422515869,"server-intelhaswell","6",0.499964952468872,0.499960422515869,"server-intelivybridge","4",0.499962687492371,0.499962687492371,"server-intelsandybridge","4",0.499962687492371,0.499962687492371,"server-intelskylake","6",0.499964952468872,0.499960422515869,211,7
"35","intel-xbridge","fmnist",50,55.8012631040241,136,55.8012965267973,2,0.499927997589111,0.499918460845947,29,158.707947670929,"server-amdrome","2",0.499924778938294,0.499921679496765,"server-intelbroadwell","2",0.499925017356873,0.499921441078186,"server-intelcascadelake","2",0.499924421310425,0.499922037124634,"server-intelhaswell","2",0.499925017356873,0.499921441078186,"server-intelivybridge","6",0.499923348426819,0.49992311000824,"server-intelsandybridge","6",0.499923348426819,0.49992311000824,"server-intelskylake","2",0.499924421310425,0.499922037124634,165,6
"36","intel-xwell","fmnist",51,54.7417975712735,100,54.7418164027844,0,0.49926021695137,0.499252825975418,15,163.176853590432,"server-amdrome","0",0.499258548021316,0.499254494905472,"server-intelbroadwell","2",0.499256879091263,0.499256163835526,"server-intelcascadelake","0",0.49925771355629,0.499255329370499,"server-intelhaswell","2",0.499256879091263,0.499256163835526,"server-intelivybridge","0",0.499258667230606,0.499254375696182,"server-intelsandybridge","0",0.499258667230606,0.499254375696182,"server-intelskylake","0",0.49925771355629,0.499255329370499,115,2
"37","intel-xbridge","fmnist",52,73.9312083309568,130,73.9316005043048,0,0.500004708766937,0.499994933605194,41,155.905048049394,"server-amdrome","0",0.500000774860382,0.499998867511749,"server-intelbroadwell","0",0.50000137090683,0.499998271465302,"server-intelcascadelake","0",0.500002324581146,0.499997317790985,"server-intelhaswell","0",0.50000137090683,0.499998271465302,"server-intelivybridge","6",0.499999940395355,0.499999701976776,"server-intelsandybridge","6",0.499999940395355,0.499999701976776,"server-intelskylake","0",0.500002324581146,0.499997317790985,171,0
"38","intel-xlake","fmnist",53,45.7747918668417,266,45.7748073942076,9,0.499842822551727,0.499833047389984,30,155.025610188781,"server-amdrome","9",0.499840557575226,0.499835312366486,"server-intelbroadwell","9",0.499839723110199,0.499836146831513,"server-intelcascadelake","7",0.499838054180145,0.499837815761566,"server-intelhaswell","9",0.499839723110199,0.499836146831513,"server-intelivybridge","9",0.499838888645172,0.499836981296539,"server-intelsandybridge","9",0.499838888645172,0.499836981296539,"server-intelskylake","7",0.499838054180145,0.499837815761566,296,0
"39","amd","fmnist",54,43.3951743767692,254,43.3951836991351,6,0.500003039836884,0.499993741512299,47,155.302243939573,"server-amdrome","4",0.499998390674591,0.499998390674591,"server-intelbroadwell","6",0.499999940395355,0.499996840953827,"server-intelcascadelake","6",0.499999821186066,0.499996960163117,"server-intelhaswell","6",0.499999940395355,0.499996840953827,"server-intelivybridge","6",0.500000298023224,0.499996483325958,"server-intelsandybridge","6",0.500000298023224,0.499996483325958,"server-intelskylake","6",0.499999821186066,0.499996960163117,301,9
"40","intel-xlake","fmnist",58,79.4904450054748,112,79.4896543988896,0,0.488972753286362,0.488963782787323,32,155.104188076307,"server-amdrome","0",0.488968908786774,0.488967388868332,"server-intelbroadwell","0",0.488968700170517,0.488967657089233,"server-intelcascadelake","6",0.488968521356583,0.488967835903168,"server-intelhaswell","0",0.488968700170517,0.488967657089233,"server-intelivybridge","0",0.488970220088959,0.488966017961502,"server-intelsandybridge","0",0.488970220088959,0.488966017961502,"server-intelskylake","6",0.488968521356583,0.488967835903168,144,7
"41","amd","fmnist",60,44.7307266669149,159,44.7307327715653,1,0.49995630979538,0.499947011470795,11,163.220449430179,"server-amdrome","6",0.499952256679535,0.499951064586639,"server-intelbroadwell","1",0.499952018260956,0.499951303005219,"server-intelcascadelake","1",0.49995344877243,0.499949872493744,"server-intelhaswell","1",0.499952018260956,0.499951303005219,"server-intelivybridge","1",0.499954044818878,0.499949276447296,"server-intelsandybridge","1",0.499954044818878,0.499949276447296,"server-intelskylake","1",0.49995344877243,0.499949872493744,170,2
"42","amd","fmnist",62,46.54485390259,161,46.5448628159269,7,0.499339431524277,0.499331921339035,14,161.760267657609,"server-amdrome","5",0.499335706233978,0.499335706233978,"server-intelbroadwell","7",0.499336421489716,0.499334990978241,"server-intelcascadelake","7",0.499336779117584,0.499334633350372,"server-intelhaswell","7",0.499336421489716,0.499334990978241,"server-intelivybridge","7",0.499336719512939,0.499334692955017,"server-intelsandybridge","7",0.499336719512939,0.499334692955017,"server-intelskylake","7",0.499336779117584,0.499334633350372,175,9
"43","amd","fmnist",63,44.0692949512019,199,44.0693014032007,2,0.499826908111572,0.499817728996277,21,161.031575230024,"server-amdrome","6",0.499822437763214,0.499822199344635,"server-intelbroadwell","2",0.499823331832886,0.499821305274963,"server-intelcascadelake","2",0.49982351064682,0.499821126461029,"server-intelhaswell","2",0.499823331832886,0.499821305274963,"server-intelivybridge","2",0.499823153018951,0.499821484088898,"server-intelsandybridge","2",0.499823153018951,0.499821484088898,"server-intelskylake","2",0.49982351064682,0.499821126461029,220,7
"44","intel-xlake","fmnist",64,46.4837844026333,198,46.4837991679562,4,0.498710691928864,0.498701184988022,24,156.535052620991,"server-amdrome","4",0.498708069324493,0.49870377779007,"server-intelbroadwell","4",0.498706191778183,0.498705714941025,"server-intelcascadelake","6",0.498706549406052,0.498705357313156,"server-intelhaswell","4",0.498706191778183,0.498705714941025,"server-intelivybridge","4",0.498707234859467,0.498704612255096,"server-intelsandybridge","4",0.498707234859467,0.498704612255096,"server-intelskylake","6",0.498706549406052,0.498705357313156,222,2
"45","amd","fmnist",65,52.0850615447041,155,52.0850794198487,6,0.500000357627869,0.499992966651917,23,160.999434138497,"server-amdrome","0",0.499996900558472,0.499996423721313,"server-intelbroadwell","6",0.499998569488525,0.49999475479126,"server-intelcascadelake","6",0.50000011920929,0.499993205070496,"server-intelhaswell","6",0.499998569488525,0.49999475479126,"server-intelivybridge","6",0.499998331069946,0.499994993209839,"server-intelsandybridge","6",0.499998331069946,0.499994993209839,"server-intelskylake","6",0.50000011920929,0.499993205070496,178,4
"46","intel-xbridge","fmnist",66,54.6307040957149,176,54.630740807602,2,0.500004470348358,0.499995410442352,55,154.794051975336,"server-amdrome","2",0.500001490116119,0.499998390674591,"server-intelbroadwell","2",0.500001132488251,0.49999874830246,"server-intelcascadelake","2",0.500000417232513,0.499999463558197,"server-intelhaswell","2",0.500001132488251,0.49999874830246,"server-intelivybridge","6",0.500000059604645,0.499999821186066,"server-intelsandybridge","6",0.500000059604645,0.499999821186066,"server-intelskylake","2",0.500000417232513,0.499999463558197,231,6
"47","amd","fmnist",67,56.1595319312056,166,56.1596041174691,6,0.466912150382996,0.466902732849121,48,152.878908612024,"server-amdrome","2",0.466907352209091,0.466907292604446,"server-intelbroadwell","6",0.466908037662506,0.466906696557999,"server-intelcascadelake","6",0.466909348964691,0.466905355453491,"server-intelhaswell","6",0.466908037662506,0.466906696557999,"server-intelivybridge","6",0.466911166906357,0.466903418302536,"server-intelsandybridge","6",0.466911166906357,0.466903418302536,"server-intelskylake","6",0.466909348964691,0.466905355453491,214,2
"48","intel-xbridge","fmnist",68,48.0683102830081,194,48.0683269923861,6,0.500004589557648,0.499995291233063,41,155.698793594481,"server-amdrome","6",0.500001728534698,0.499998152256012,"server-intelbroadwell","6",0.50000125169754,0.49999862909317,"server-intelcascadelake","6",0.500001728534698,0.499998152256012,"server-intelhaswell","6",0.50000125169754,0.49999862909317,"server-intelivybridge","4",0.500000059604645,0.499999821186066,"server-intelsandybridge","4",0.500000059604645,0.499999821186066,"server-intelskylake","6",0.500001728534698,0.499998152256012,235,2
"49","amd","fmnist",70,47.0832636090538,154,47.0832728916432,1,0.494842797517776,0.494833469390869,12,162.407694775562,"server-amdrome","2",0.494838267564774,0.49483796954155,"server-intelbroadwell","1",0.494839549064636,0.494836658239365,"server-intelcascadelake","1",0.494838207960129,0.49483796954155,"server-intelhaswell","1",0.494839549064636,0.494836658239365,"server-intelivybridge","1",0.494839787483215,0.494836360216141,"server-intelsandybridge","1",0.494839787483215,0.494836360216141,"server-intelskylake","1",0.494838207960129,0.49483796954155,166,5
"50","intel-xlake","fmnist",71,57.9541642599241,110,57.9542074159175,7,0.499942243099213,0.499932944774628,12,161.660135124428,"server-amdrome","7",0.499939739704132,0.499935448169708,"server-intelbroadwell","7",0.499938786029816,0.499936401844025,"server-intelcascadelake","5",0.49993771314621,0.499937474727631,"server-intelhaswell","7",0.499938786029816,0.499936401844025,"server-intelivybridge","7",0.499938547611237,0.499936640262604,"server-intelsandybridge","7",0.499938547611237,0.499936640262604,"server-intelskylake","5",0.49993771314621,0.499937474727631,122,1
"51","intel-xlake","fmnist",72,46.5394707379723,191,46.5394842694687,6,0.499914944171906,0.499905407428742,46,156.290072813478,"server-amdrome","6",0.499911218881607,0.499909192323685,"server-intelbroadwell","6",0.499911695718765,0.499908715486526,"server-intelcascadelake","2",0.499910205602646,0.499910205602646,"server-intelhaswell","6",0.499911695718765,0.499908715486526,"server-intelivybridge","6",0.499910742044449,0.499909669160843,"server-intelsandybridge","6",0.499910742044449,0.499909669160843,"server-intelskylake","2",0.499910205602646,0.499910205602646,237,5
